Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
704,210,3,11,376,696,1212,2718
705,319,3,10,374,726,1497,3138
706,215,3,11,360,781,2146,3721
707,276,4,10,398,784,1415,3101
708,233,4,10,360,687,1235,2737
709,318,3,11,379,774,1380,3077
710,214,2,11,354,689,2301,3776
711,312,3,11,384,766,1348,3042
712,211,4,11,368,692,2289,3794
713,334,4,11,378,791,1279,3007
714,227,3,10,375,712,1277,2812
715,309,4,11,404,778,1246,2986
716,214,3,12,362,679,1324,2798
717,384,4,11,420,829,2071,3949
718,214,3,10,400,741,1245,2840
719,311,4,10,436,845,1149,2972
720,255,4,12,431,815,2102,3840
721,352,3,11,401,850,2110,3954
722,232,5,15,416,788,2141,3826
723,328,4,13,389,755,1204,2916
724,257,4,11,389,746,1236,2852
725,324,4,12,416,844,2100,3923
726,223,3,11,405,747,2298,3897
727,311,3,11,393,815,2127,3881
728,207,4,11,404,695,1352,2900
729,395,5,12,407,766,2071,3869
730,231,4,11,387,716,1335,2890
731,349,4,15,398,778,1101,2871
732,268,3,14,455,872,2110,3940
733,325,4,11,396,740,2135,3831
734,207,3,11,373,667,1514,2983
735,320,3,11,401,768,2103,3823
736,230,4,12,384,704,1451,2995
737,327,3,11,386,822,1055,2816
738,241,4,13,480,835,2149,3965
739,307,3,10,394,743,1135,2822
740,264,4,14,443,800,2205,3970
741,317,4,11,400,790,2041,3780
742,206,4,11,394,683,1504,3003
743,299,3,12,408,839,2063,3835
744,213,3,11,380,683,1510,3001
745,303,3,11,390,793,2076,3792
746,234,3,11,367,659,1583,3060
747,347,3,11,388,718,1101,2785
748,232,3,10,368,692,1566,3075
749,338,3,11,393,740,2044,3756
750,249,4,10,387,721,1506,3077
751,311,3,11,387,722,2112,3762
752,254,4,11,380,760,1471,3087
753,303,4,11,378,801,2042,3743
754,240,4,12,374,672,1582,3090
755,305,3,11,404,837,1941,3717
756,194,4,11,393,735,1573,3121
757,324,3,11,406,756,1986,3698
758,218,4,10,376,652,1679,3138
759,303,3,10,373,761,2007,3671
760,214,3,11,369,724,1641,3165
761,309,4,10,421,875,1835,3665
762,223,4,10,374,683,1687,3188
763,347,4,10,399,760,1905,3637
764,235,3,11,385,659,1705,3205
765,329,3,12,385,669,1992,3602
