Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
10.0.0.180:5000/localredis:latest,2024-05-28T04:06:38Z,2.6 MiB,610 µs,102.39 ms,5.647 ms,3.415 ms,112.062
10.0.0.180:5000/localredis:latest,2024-05-28T02:01:26Z,2.6 MiB,700 µs,98.87 ms,5.734 ms,3.605 ms,108.909
10.0.0.180:5000/localredis:latest,2024-05-28T10:05:22Z,2.6 MiB,621 µs,100.99 ms,5.708 ms,3.445 ms,110.764
10.0.0.180:5000/localredis:latest,2024-05-28T05:26:11Z,2.6 MiB,714 µs,116.32 ms,6.401 ms,3.694 ms,127.129
10.0.0.180:5000/localredis:latest,2024-05-27T20:35:36Z,2.8 MiB,540 µs,79.726 ms,4.868 ms,2.979 ms,88.113
10.0.0.180:5000/localredis:latest,2024-05-27T22:51:16Z,2.8 MiB,436 µs,75.315 ms,3.99 ms,2.537 ms,82.278
10.0.0.180:5000/localredis:latest,2024-05-27T21:29:42Z,2.6 MiB,643 µs,98.977 ms,6.353 ms,3.641 ms,109.614
10.0.0.180:5000/localredis:latest,2024-05-28T04:07:16Z,2.6 MiB,606 µs,97.279 ms,5.577 ms,3.364 ms,106.826
10.0.0.180:5000/localredis:latest,2024-05-28T09:13:23Z,2.6 MiB,689 µs,113.3 ms,6.894 ms,4.202 ms,125.085
10.0.0.180:5000/localredis:latest,2024-05-28T09:04:05Z,2.6 MiB,405 µs,96.927 ms,3.805 ms,2.29 ms,103.427
10.0.0.180:5000/localredis:latest,2024-05-27T20:34:39Z,2.8 MiB,399 µs,79.697 ms,3.722 ms,2.271 ms,86.089
10.0.0.180:5000/localredis:latest,2024-05-28T03:06:12Z,2.6 MiB,723 µs,108.31 ms,6.257 ms,3.71 ms,119
10.0.0.180:5000/localredis:latest,2024-05-27T22:16:13Z,2.6 MiB,624 µs,113.52 ms,5.669 ms,3.404 ms,123.217
10.0.0.180:5000/localredis:latest,2024-05-28T09:46:34Z,2.6 MiB,671 µs,102.41 ms,6.612 ms,3.903 ms,113.596
10.0.0.180:5000/localredis:latest,2024-05-28T02:32:44Z,2.6 MiB,717 µs,108.75 ms,6.418 ms,3.744 ms,119.629
10.0.0.180:5000/localredis:latest,2024-05-28T08:58:49Z,2.6 MiB,396 µs,74.637 ms,3.707 ms,2.183 ms,80.923
10.0.0.180:5000/localredis:latest,2024-05-28T05:57:13Z,2.6 MiB,381 µs,69.969 ms,3.718 ms,2.404 ms,76.472
10.0.0.180:5000/localredis:latest,2024-05-28T06:09:06Z,2.6 MiB,622 µs,93.823 ms,5.787 ms,3.523 ms,103.755
10.0.0.180:5000/localredis:latest,2024-05-28T10:59:06Z,2.6 MiB,564 µs,83.215 ms,5.177 ms,3.082 ms,92.038
10.0.0.180:5000/localredis:latest,2024-05-27T20:30:22Z,2.6 MiB,659 µs,107.21 ms,5.665 ms,3.437 ms,116.971
10.0.0.180:5000/localredis:latest,2024-05-28T03:33:46Z,2.6 MiB,620 µs,97.62 ms,5.496 ms,3.39 ms,107.126
10.0.0.180:5000/localredis:latest,2024-05-27T22:18:38Z,2.8 MiB,387 µs,83.708 ms,3.619 ms,2.222 ms,89.936
10.0.0.180:5000/localredis:latest,2024-05-27T22:27:06Z,2.6 MiB,748 µs,104.86 ms,6.671 ms,3.915 ms,116.194
10.0.0.180:5000/localredis:latest,2024-05-27T21:05:17Z,2.6 MiB,615 µs,93.661 ms,5.473 ms,3.196 ms,102.945
10.0.0.180:5000/localredis:latest,2024-05-28T05:49:53Z,2.6 MiB,610 µs,96.754 ms,5.987 ms,3.683 ms,107.034
10.0.0.180:5000/localredis:latest,2024-05-28T02:41:19Z,2.8 MiB,387 µs,66.375 ms,3.876 ms,2.543 ms,73.181
10.0.0.180:5000/localredis:latest,2024-05-27T21:54:26Z,2.8 MiB,411 µs,79.286 ms,3.936 ms,2.555 ms,86.188
10.0.0.180:5000/localredis:latest,2024-05-27T21:26:58Z,2.8 MiB,479 µs,76.075 ms,4.483 ms,2.765 ms,83.802
10.0.0.180:5000/localredis:latest,2024-05-28T01:46:50Z,2.8 MiB,378 µs,77.994 ms,3.891 ms,2.509 ms,84.772
10.0.0.180:5000/localredis:latest,2024-05-28T09:02:19Z,2.6 MiB,633 µs,110.77 ms,6.226 ms,3.516 ms,121.145
10.0.0.180:5000/localredis:latest,2024-05-28T06:31:54Z,2.6 MiB,630 µs,103.41 ms,5.666 ms,3.469 ms,113.175
